instance_id,repo,language,ps_chars,ps_has_traceback,ps_has_repro,hints_chars,patch_files,patch_hunks,patch_add,patch_del,patch_exts,test_files,test_hunks,test_add,n_f2p,n_p2p,touches_header,touches_build,touches_core
projectlombok__lombok-3571,projectlombok/lombok,Java,928,0,1,0,4,5,6,6,.java,10,9,220,2,2,0,0,1
projectlombok__lombok-3594,projectlombok/lombok,Java,2988,0,1,221,1,1,2,0,.java,3,3,242,1,2,0,0,1
projectlombok__lombok-3602,projectlombok/lombok,Java,4917,0,1,0,4,5,8,3,.java,2,3,42,2,0,0,0,1
projectlombok__lombok-3674,projectlombok/lombok,Java,3631,0,1,451,2,6,14,6,.java,6,8,59,2,1,0,0,1
projectlombok__lombok-3697,projectlombok/lombok,Java,1050,0,1,422,2,5,6,1,.java .markdown,3,3,234,1,34,0,0,1
prometheus__prometheus-10633,prometheus/prometheus,Go,2414,0,1,166,2,3,19,0,.go .json,1,1,4,1,0,0,0,1
prometheus__prometheus-10720,prometheus/prometheus,Go,496,0,0,127,7,11,37,2,.go .grammar .md .ts,1,2,14,2,10,0,0,1
prometheus__prometheus-11859,prometheus/prometheus,Go,14854,0,1,1032,1,1,38,11,.go,1,1,55,1,1,0,0,1
prometheus__prometheus-12874,prometheus/prometheus,Go,1808,0,1,0,1,2,6,3,.go,1,1,46,1,45,0,0,1
prometheus__prometheus-13845,prometheus/prometheus,Go,2429,0,1,0,1,1,3,1,.go,2,2,23,3,37,0,0,1
prometheus__prometheus-14861,prometheus/prometheus,Go,1331,1,1,51,1,1,4,0,.go,1,1,23,2,10,0,0,1
prometheus__prometheus-15142,prometheus/prometheus,Go,1424,0,0,508,1,8,49,58,.go,1,1,57,3,74,0,0,1
prometheus__prometheus-9248,prometheus/prometheus,Go,462,0,0,0,9,37,534,504,.go .grammar .js .md .ts .y,3,3,25,2,10,0,0,1
reactivex__rxjava-7597,reactivex/rxjava,Java,4032,1,1,286,1,1,3,2,.java,2,2,30,1,56,0,0,1
redis__redis-10068,redis/redis,C,2020,0,1,0,1,4,7,7,.c,1,1,9,1,7,0,0,1
redis__redis-10095,redis/redis,C,889,0,1,528,1,1,1,1,.c,1,1,37,1,12,0,0,1
redis__redis-10764,redis/redis,C,1598,0,1,2135,1,1,1,1,.c,1,1,27,1,19,0,0,1
redis__redis-11279,redis/redis,C,909,0,1,833,2,4,9,6,.c .conf,1,2,22,2,87,0,0,1
redis__redis-11510,redis/redis,C,1199,0,1,505,1,1,3,0,.c,1,1,13,1,4,0,0,1
redis__redis-11631,redis/redis,C,2846,0,1,2123,1,3,17,7,.c,1,1,7,1,12,0,0,1
redis__redis-11734,redis/redis,C,639,0,1,0,1,7,38,20,.c,1,4,76,2,47,0,0,1
redis__redis-12272,redis/redis,C,529,0,1,3485,1,1,5,14,.c,1,2,12,2,10,0,0,1
redis__redis-12472,redis/redis,C,1004,0,1,445,1,2,3,1,.c,1,1,4,1,2,0,0,1
redis__redis-13115,redis/redis,C,6364,0,1,1027,1,1,11,2,.c,1,1,8,1,183,0,0,1
redis__redis-13338,redis/redis,C,5334,0,1,0,1,3,8,9,.c,1,1,25,1,67,0,0,1
redis__redis-9733,redis/redis,C,609,0,1,2184,3,7,16,5,.c .h,1,1,8,1,14,1,0,1
rubocop__rubocop-13362,rubocop/rubocop,Ruby,1435,0,1,0,2,2,4,1,.md .rb,2,4,63,3,37,0,0,0
rubocop__rubocop-13375,rubocop/rubocop,Ruby,887,0,1,0,2,3,11,6,.md .rb,1,1,45,1,100,0,0,0
rubocop__rubocop-13393,rubocop/rubocop,Ruby,4585,0,1,0,2,3,15,1,.md .rb,1,1,47,2,60,0,0,0
rubocop__rubocop-13396,rubocop/rubocop,Ruby,3635,0,1,126,2,6,9,10,.md .rb,1,2,84,5,110,0,0,0
rubocop__rubocop-13424,rubocop/rubocop,Ruby,1590,0,1,205,2,2,2,1,.md .rb,1,1,7,1,142,0,0,0
rubocop__rubocop-13431,rubocop/rubocop,Ruby,865,0,1,0,4,4,4,3,.md .rb,1,1,40,2,6,0,0,0
rubocop__rubocop-13479,rubocop/rubocop,Ruby,1283,0,1,145,2,3,16,0,.md .rb,1,2,28,1,25,0,0,0
rubocop__rubocop-13503,rubocop/rubocop,Ruby,1086,0,1,0,2,3,6,6,.md .rb,1,1,11,1,22,0,0,0
rubocop__rubocop-13560,rubocop/rubocop,Ruby,2005,0,1,280,2,4,21,4,.md .rb,1,1,24,1,12,0,0,0
rubocop__rubocop-13579,rubocop/rubocop,Ruby,3610,0,1,0,2,3,8,1,.md .rb,1,2,91,4,15,0,0,0
rubocop__rubocop-13627,rubocop/rubocop,Ruby,1268,0,1,0,5,10,35,23,.md .rb,1,1,60,4,24,0,0,0
rubocop__rubocop-13653,rubocop/rubocop,Ruby,974,0,1,0,3,6,35,2,.md .rb .yml,1,1,33,4,105,0,0,0
rubocop__rubocop-13668,rubocop/rubocop,Ruby,528,0,1,0,2,2,2,1,.md .rb,1,1,16,1,44,0,0,0
rubocop__rubocop-13680,rubocop/rubocop,Ruby,1787,0,1,0,2,2,3,2,.md .rb,1,1,7,1,84,0,0,0
rubocop__rubocop-13687,rubocop/rubocop,Ruby,1096,0,1,2767,2,2,8,0,.md .rb,1,1,11,1,60,0,0,0
rubocop__rubocop-13705,rubocop/rubocop,Ruby,1236,0,1,0,2,2,2,0,.md .rb,1,1,24,3,27,0,0,0
sharkdp__bat-1892,sharkdp/bat,Rust,505,0,1,0,7,14,158,55,.md .rs,3,3,33,1,0,0,0,1
sharkdp__bat-2201,sharkdp/bat,Rust,3064,0,1,187,2,2,2,0,.md .rs,1,1,12,1,17,0,0,1
sharkdp__bat-2260,sharkdp/bat,Rust,3118,0,1,517,2,3,9,1,.md .rs,3,3,32,1,3,0,0,1
sharkdp__bat-2393,sharkdp/bat,Rust,696,0,0,0,3,14,55,52,.md .rs,1,1,0,1,2,0,0,1
sharkdp__bat-2650,sharkdp/bat,Rust,5297,0,1,245,2,2,2,1,.md .rs,2,2,25,1,1,0,0,1
sharkdp__bat-2835,sharkdp/bat,Rust,2966,0,1,0,2,4,52,18,.md .rs,2,2,56,1,12,0,0,1
sharkdp__bat-3108,sharkdp/bat,Rust,1157,0,1,0,3,4,21,4,.md .rs,1,1,25,2,27,0,0,1
sharkdp__bat-562,sharkdp/bat,Rust,587,0,0,1655,2,2,2,1,.lock .rs,2,2,16,1,1,0,0,1
tokio-rs__axum-1119,tokio-rs/axum,Rust,1113,0,0,0,5,9,112,62,.md .rs,2,4,22,3,7,0,0,1
tokio-rs__axum-1730,tokio-rs/axum,Rust,804,0,1,1355,4,5,48,3,.md .rs,6,6,79,0,7,0,0,1
tokio-rs__axum-1934,tokio-rs/axum,Rust,1369,0,1,2304,4,15,44,20,.md .rs,1,1,16,1,15,0,0,1
tokio-rs__axum-2096,tokio-rs/axum,Rust,2201,0,1,0,3,8,36,11,.md .rs,1,1,119,4,17,0,0,1
tokio-rs__axum-682,tokio-rs/axum,Rust,540,0,0,0,5,14,46,33,.md .rs .toml,1,2,25,3,3,0,1,1
tokio-rs__axum-691,tokio-rs/axum,Rust,1620,0,1,297,2,3,12,6,.md .rs,2,2,37,1,0,0,0,1
tokio-rs__axum-734,tokio-rs/axum,Rust,1387,0,1,3710,7,15,133,62,.md .rs,2,2,33,1,2,0,0,1
tokio-rs__tokio-4384,tokio-rs/tokio,Rust,2932,1,1,89,1,2,5,0,.rs,1,1,32,2,0,0,0,1
tokio-rs__tokio-4867,tokio-rs/tokio,Rust,1402,0,1,778,1,9,48,75,.rs,1,2,10,1,22,0,0,1
tokio-rs__tokio-4898,tokio-rs/tokio,Rust,1239,0,0,0,1,1,2,5,.rs,1,1,1,1,12,0,0,1
tokio-rs__tokio-6551,tokio-rs/tokio,Rust,1011,0,1,0,2,2,8,2,.rs,1,1,5,1,21,0,0,1
tokio-rs__tokio-6603,tokio-rs/tokio,Rust,1664,0,1,0,1,1,9,6,.rs,1,1,12,1,84,0,0,1
tokio-rs__tokio-6724,tokio-rs/tokio,Rust,1287,0,0,28,1,2,10,2,.rs,1,1,49,1,2,0,0,1
tokio-rs__tokio-6752,tokio-rs/tokio,Rust,1714,0,1,0,1,1,6,0,.rs,1,1,13,1,32,0,0,1
tokio-rs__tokio-6838,tokio-rs/tokio,Rust,1534,0,1,344,2,2,2,2,.rs,1,2,11,1,7,0,0,1
tokio-rs__tokio-7139,tokio-rs/tokio,Rust,2457,0,1,338,1,2,2,1,.rs,1,2,19,1,16,0,0,1
uutils__coreutils-6377,uutils/coreutils,Rust,135,0,1,576,2,8,112,1,.rs .txt,1,2,140,4,58,0,0,1
uutils__coreutils-6575,uutils/coreutils,Rust,486,0,1,0,2,10,77,62,.rs,1,2,28,1,64,0,0,1
uutils__coreutils-6682,uutils/coreutils,Rust,1296,0,1,155,1,4,12,7,.rs,1,1,21,1,17,0,0,1
uutils__coreutils-6690,uutils/coreutils,Rust,391,0,0,0,1,1,2,0,.rs,1,1,17,1,7,0,0,1
uutils__coreutils-6731,uutils/coreutils,Rust,573,0,1,0,1,1,7,17,.rs,1,1,23,1,9,0,0,1
valkey-io__valkey-1499,valkey-io/valkey,C,1063,0,1,0,1,1,1,1,.c,1,1,14,1,46,0,0,1
valkey-io__valkey-1842,valkey-io/valkey,C,934,0,1,17207,1,1,3,0,.c,1,1,37,1,3,0,0,1
valkey-io__valkey-790,valkey-io/valkey,C,3550,0,1,82,1,2,35,31,.c,1,1,55,1,4,0,0,1
valkey-io__valkey-928,valkey-io/valkey,C,7824,0,1,3272,1,1,9,2,.c,1,1,34,1,0,0,0,1
vuejs__core-11589,vuejs/core,TypeScript,2623,0,1,1382,2,5,2,7,.ts,1,1,28,1,78,0,0,0
vuejs__core-11739,vuejs/core,TypeScript,3390,0,1,0,4,5,18,14,.ts,1,1,20,1,26,0,0,0
vuejs__core-11870,vuejs/core,TypeScript,1724,0,1,0,1,2,9,2,.ts,1,2,9,1,7,0,0,0
vuejs__core-11899,vuejs/core,TypeScript,2570,0,1,0,1,2,22,9,.ts,1,1,32,1,25,0,0,0
vuejs__core-11915,vuejs/core,TypeScript,694,0,1,0,1,1,1,1,.ts,1,1,15,2,43,0,0,0
