metric,workload,v,side
Branch MPKI,jq-2598,4.5417000000000005,Agentic
Branch MPKI,json-4237,2.7771999999999997,Agentic
Branch MPKI,lombok-3479,4.4303,Agentic
Branch MPKI,micropython-13039,5.0937,Agentic
Branch MPKI,nushell-13831,3.6493,Agentic
Branch MPKI,php-cs-fixer-8064,3.7478,Agentic
Branch MPKI,phpspreadsheet-3463,5.1592,Agentic
Branch MPKI,preact-3763,4.8519,Agentic
Branch MPKI,prometheus-10720,2.5588,Agentic
Branch MPKI,redis-10068,3.44665,Agentic
Branch MPKI,redis-12272,2.61415,Agentic
Branch MPKI,ripgrep-2209,3.1047000000000002,Agentic
Branch MPKI,rubocop-13560,3.3499,Agentic
Branch MPKI,three.js-26589,4.312950000000001,Agentic
Branch-direction MPKI,axios-5892,5.0411,Agentic
Branch-direction MPKI,axum-1730,3.1144,Agentic
Branch-direction MPKI,babel-15649,4.1549499999999995,Agentic
Branch-direction MPKI,bat-2835,2.1039,Agentic
Branch-direction MPKI,caddy-4774,1.9039,Agentic
Branch-direction MPKI,carbon-2752,2.33,Agentic
Branch-direction MPKI,core-11870,4.3037,Agentic
Branch-direction MPKI,docusaurus-10130,4.49825,Agentic
Branch-direction MPKI,docusaurus-9897,4.28925,Agentic
Branch-direction MPKI,fastlane-20958,2.2653,Agentic
Branch-direction MPKI,fluentd-3328,3.5328,Agentic
Branch-direction MPKI,fmt-2457,3.91,Agentic
Branch-direction MPKI,fmt-3750,4.41015,Agentic
Branch-direction MPKI,fmt-3901,4.605,Agentic
Branch-direction MPKI,framework-52684,3.95425,Agentic
Branch-direction MPKI,gin-2121,3.0220000000000002,Agentic
Branch-direction MPKI,gson-1093,4.024900000000001,Agentic
Branch-direction MPKI,gson-2134,4.22925,Agentic
Branch-direction MPKI,hugo-12579,3.5806,Agentic
Branch-direction MPKI,immutable-js-2006,3.6564,Agentic
Branch-direction MPKI,javaparser-4538,3.6774,Agentic
Branch-direction MPKI,jekyll-8167,2.7241,Agentic
Branch-direction MPKI,jq-2598,3.974,Agentic
Branch-direction MPKI,json-4237,2.4656,Agentic
Branch-direction MPKI,lombok-3479,3.6133,Agentic
Branch-direction MPKI,micropython-13039,3.9973,Agentic
Branch-direction MPKI,nushell-13831,3.08745,Agentic
Branch-direction MPKI,php-cs-fixer-8064,3.3963,Agentic
Branch-direction MPKI,phpspreadsheet-3463,3.0686,Agentic
Branch-direction MPKI,preact-3763,4.4128,Agentic
Branch-direction MPKI,prometheus-10720,2.3026,Agentic
Branch-direction MPKI,redis-10068,2.8850499999999997,Agentic
Branch-direction MPKI,redis-12272,2.1531000000000002,Agentic
Branch-direction MPKI,ripgrep-2209,2.78795,Agentic
Branch-direction MPKI,rubocop-13560,2.799,Agentic
Branch-direction MPKI,three.js-26589,3.6604,Agentic
Context switches (/CPU-s),axios-5892,723.0886499999999,Agentic
Context switches (/CPU-s),axum-1730,80.848,Agentic
Context switches (/CPU-s),babel-15649,637.1681,Agentic
Context switches (/CPU-s),bat-2835,176.11115,Agentic
Context switches (/CPU-s),caddy-4774,366.2365,Agentic
Context switches (/CPU-s),carbon-2752,543.3046,Agentic
Context switches (/CPU-s),core-11870,928.7926,Agentic
Context switches (/CPU-s),docusaurus-10130,620.0177,Agentic
Context switches (/CPU-s),docusaurus-9897,683.4591,Agentic
Context switches (/CPU-s),fastlane-20958,240.05775,Agentic
Context switches (/CPU-s),fluentd-3328,209.32844999999998,Agentic
Context switches (/CPU-s),fmt-2457,9.8299,Agentic
Context switches (/CPU-s),fmt-3750,9.8203,Agentic
Context switches (/CPU-s),fmt-3901,9.8097,Agentic
Context switches (/CPU-s),framework-52684,727.8344500000001,Agentic
Context switches (/CPU-s),gin-2121,1715.6863,Agentic
Context switches (/CPU-s),gson-1093,992.5558,Agentic
Context switches (/CPU-s),gson-2134,1125.58915,Agentic
Context switches (/CPU-s),hugo-12579,1997.3238,Agentic
Context switches (/CPU-s),immutable-js-2006,652.84385,Agentic
Context switches (/CPU-s),javaparser-4538,581.7108,Agentic
Context switches (/CPU-s),jekyll-8167,250.2681,Agentic
Context switches (/CPU-s),jq-2598,255.3275,Agentic
Context switches (/CPU-s),json-4237,9.828,Agentic
Context switches (/CPU-s),lombok-3479,444.97979999999995,Agentic
Context switches (/CPU-s),micropython-13039,732.0752,Agentic
Context switches (/CPU-s),nushell-13831,36.281,Agentic
Context switches (/CPU-s),php-cs-fixer-8064,555.5556,Agentic
Context switches (/CPU-s),phpspreadsheet-3463,947.08065,Agentic
Context switches (/CPU-s),preact-3763,871.55025,Agentic
Context switches (/CPU-s),prometheus-10720,815.1907,Agentic
Context switches (/CPU-s),redis-10068,158.7148,Agentic
Context switches (/CPU-s),redis-12272,704.8872,Agentic
Context switches (/CPU-s),ripgrep-2209,366.3749,Agentic
Context switches (/CPU-s),rubocop-13560,29.432,Agentic
Context switches (/CPU-s),three.js-26589,436.47635,Agentic
DRAM read (GB/s),axios-5892,0.2384,Agentic
DRAM read (GB/s),axum-1730,1.104,Agentic
DRAM read (GB/s),babel-15649,0.27865,Agentic
DRAM read (GB/s),bat-2835,0.81625,Agentic
DRAM read (GB/s),caddy-4774,1.4234499999999999,Agentic
DRAM read (GB/s),carbon-2752,0.2158,Agentic
DRAM read (GB/s),core-11870,0.8893,Agentic
DRAM read (GB/s),docusaurus-10130,0.3658,Agentic
DRAM read (GB/s),docusaurus-9897,0.3029,Agentic
DRAM read (GB/s),fastlane-20958,0.557,Agentic
DRAM read (GB/s),fluentd-3328,0.28145,Agentic
DRAM read (GB/s),fmt-2457,0.4489,Agentic
DRAM read (GB/s),fmt-3750,0.5422,Agentic
DRAM read (GB/s),fmt-3901,1.2398,Agentic
DRAM read (GB/s),framework-52684,0.12104999999999999,Agentic
DRAM read (GB/s),gin-2121,0.1968,Agentic
DRAM read (GB/s),gson-1093,0.30255,Agentic
DRAM read (GB/s),gson-2134,1.16535,Agentic
DRAM read (GB/s),hugo-12579,2.2367,Agentic
DRAM read (GB/s),immutable-js-2006,0.94845,Agentic
DRAM read (GB/s),javaparser-4538,3.1282,Agentic
DRAM read (GB/s),jekyll-8167,0.4436,Agentic
DRAM read (GB/s),jq-2598,0.3808,Agentic
DRAM read (GB/s),json-4237,0.4634,Agentic
DRAM read (GB/s),lombok-3479,0.9977,Agentic
DRAM read (GB/s),micropython-13039,0.2602,Agentic
DRAM read (GB/s),nushell-13831,1.22005,Agentic
DRAM read (GB/s),php-cs-fixer-8064,0.70745,Agentic
DRAM read (GB/s),phpspreadsheet-3463,0.2282,Agentic
DRAM read (GB/s),preact-3763,0.7584500000000001,Agentic
DRAM read (GB/s),prometheus-10720,0.6809,Agentic
DRAM read (GB/s),redis-10068,0.2573,Agentic
DRAM read (GB/s),redis-12272,0.16745,Agentic
DRAM read (GB/s),ripgrep-2209,0.45005,Agentic
DRAM read (GB/s),rubocop-13560,0.6845,Agentic
DRAM read (GB/s),three.js-26589,0.3282,Agentic
DSB coverage (%),axios-5892,60.2495,Agentic
DSB coverage (%),axum-1730,55.46875,Agentic
DSB coverage (%),babel-15649,61.2432,Agentic
DSB coverage (%),bat-2835,70.70295,Agentic
DSB coverage (%),caddy-4774,81.4134,Agentic
DSB coverage (%),carbon-2752,64.80600000000001,Agentic
DSB coverage (%),core-11870,66.06645,Agentic
DSB coverage (%),docusaurus-10130,61.9143,Agentic
DSB coverage (%),docusaurus-9897,60.928,Agentic
DSB coverage (%),fastlane-20958,63.81765,Agentic
DSB coverage (%),fluentd-3328,62.2002,Agentic
DSB coverage (%),fmt-2457,72.062,Agentic
DSB coverage (%),fmt-3750,71.82759999999999,Agentic
DSB coverage (%),fmt-3901,69.3582,Agentic
DSB coverage (%),framework-52684,58.9811,Agentic
DSB coverage (%),gin-2121,62.5059,Agentic
DSB coverage (%),gson-1093,66.18315,Agentic
DSB coverage (%),gson-2134,76.7718,Agentic
DSB coverage (%),hugo-12579,72.62,Agentic
DSB coverage (%),immutable-js-2006,73.8813,Agentic
DSB coverage (%),javaparser-4538,79.2921,Agentic
DSB coverage (%),jekyll-8167,63.2276,Agentic
DSB coverage (%),jq-2598,68.6004,Agentic
DSB coverage (%),json-4237,70.20795000000001,Agentic
DSB coverage (%),lombok-3479,78.3112,Agentic
DSB coverage (%),micropython-13039,60.7783,Agentic
DSB coverage (%),nushell-13831,59.2994,Agentic
DSB coverage (%),php-cs-fixer-8064,72.28739999999999,Agentic
DSB coverage (%),phpspreadsheet-3463,62.83485,Agentic
DSB coverage (%),preact-3763,65.6851,Agentic
DSB coverage (%),prometheus-10720,77.4751,Agentic
DSB coverage (%),redis-10068,67.31405000000001,Agentic
DSB coverage (%),redis-12272,70.488,Agentic
DSB coverage (%),ripgrep-2209,61.76885,Agentic
DSB coverage (%),rubocop-13560,67.22775,Agentic
DSB coverage (%),three.js-26589,65.6754,Agentic
IPC,axios-5892,1.4449,Agentic
IPC,axum-1730,1.52135,Agentic
IPC,babel-15649,1.6328,Agentic
IPC,bat-2835,1.761,Agentic
IPC,caddy-4774,2.0084,Agentic
IPC,carbon-2752,1.93595,Agentic
IPC,core-11870,1.6074,Agentic
IPC,docusaurus-10130,1.5937000000000001,Agentic
IPC,docusaurus-9897,1.5739,Agentic
IPC,fastlane-20958,1.972,Agentic
IPC,fluentd-3328,1.32965,Agentic
IPC,fmt-2457,1.8059,Agentic
IPC,fmt-3750,1.8577,Agentic
IPC,fmt-3901,1.82815,Agentic
IPC,framework-52684,1.5110000000000001,Agentic
IPC,gin-2121,1.5838,Agentic
IPC,gson-1093,1.6352,Agentic
IPC,gson-2134,1.707,Agentic
IPC,hugo-12579,1.7793,Agentic
IPC,immutable-js-2006,1.767,Agentic
IPC,javaparser-4538,1.7902,Agentic
IPC,jekyll-8167,1.9816,Agentic
IPC,jq-2598,1.8374,Agentic
IPC,json-4237,2.0237499999999997,Agentic
IPC,lombok-3479,1.7969,Agentic
IPC,micropython-13039,1.738,Agentic
IPC,nushell-13831,1.5917,Agentic
IPC,php-cs-fixer-8064,1.7361,Agentic
IPC,phpspreadsheet-3463,1.5053,Agentic
IPC,preact-3763,1.66665,Agentic
IPC,prometheus-10720,1.7829000000000002,Agentic
IPC,redis-10068,1.8125,Agentic
IPC,redis-12272,1.7589000000000001,Agentic
IPC,ripgrep-2209,1.6491500000000001,Agentic
IPC,rubocop-13560,1.91635,Agentic
IPC,three.js-26589,1.7389000000000001,Agentic
L1D miss rate (%),axios-5892,2.1988000000000003,Agentic
L1D miss rate (%),axum-1730,2.3647,Agentic
L1D miss rate (%),babel-15649,1.8803,Agentic
L1D miss rate (%),bat-2835,1.53145,Agentic
L1D miss rate (%),caddy-4774,1.1345,Agentic
L1D miss rate (%),carbon-2752,2.0919,Agentic
L1D miss rate (%),core-11870,1.5583,Agentic
L1D miss rate (%),docusaurus-10130,1.7209,Agentic
L1D miss rate (%),docusaurus-9897,1.7715,Agentic
L1D miss rate (%),fastlane-20958,1.5244499999999999,Agentic
L1D miss rate (%),fluentd-3328,2.3259,Agentic
L1D miss rate (%),fmt-2457,2.293,Agentic
L1D miss rate (%),fmt-3750,2.666,Agentic
L1D miss rate (%),fmt-3901,2.644,Agentic
L1D miss rate (%),framework-52684,1.8929,Agentic
L1D miss rate (%),gin-2121,1.5343,Agentic
L1D miss rate (%),gson-1093,1.9952999999999999,Agentic
L1D miss rate (%),gson-2134,2.1605,Agentic
L1D miss rate (%),hugo-12579,1.3018,Agentic
L1D miss rate (%),immutable-js-2006,1.3616,Agentic
L1D miss rate (%),javaparser-4538,2.7892,Agentic
L1D miss rate (%),jekyll-8167,1.5381,Agentic
L1D miss rate (%),jq-2598,1.6669,Agentic
L1D miss rate (%),json-4237,1.48415,Agentic
L1D miss rate (%),lombok-3479,2.3226,Agentic
L1D miss rate (%),micropython-13039,1.7511,Agentic
L1D miss rate (%),nushell-13831,2.3969,Agentic
L1D miss rate (%),php-cs-fixer-8064,2.6079,Agentic
L1D miss rate (%),phpspreadsheet-3463,2.0506,Agentic
L1D miss rate (%),preact-3763,1.89535,Agentic
L1D miss rate (%),prometheus-10720,1.3338,Agentic
L1D miss rate (%),redis-10068,1.9683,Agentic
L1D miss rate (%),redis-12272,1.703,Agentic
L1D miss rate (%),ripgrep-2209,1.9992,Agentic
L1D miss rate (%),rubocop-13560,1.6669,Agentic
L1D miss rate (%),three.js-26589,1.6976,Agentic
L1D-load MPKI,axios-5892,5.80245,Agentic
L1D-load MPKI,axum-1730,5.9164,Agentic
L1D-load MPKI,babel-15649,4.9936,Agentic
L1D-load MPKI,bat-2835,3.8719,Agentic
L1D-load MPKI,caddy-4774,2.6738,Agentic
L1D-load MPKI,carbon-2752,5.4958,Agentic
L1D-load MPKI,core-11870,4.2446,Agentic
L1D-load MPKI,docusaurus-10130,4.6546,Agentic
L1D-load MPKI,docusaurus-9897,4.7714,Agentic
L1D-load MPKI,fastlane-20958,3.9622,Agentic
L1D-load MPKI,fluentd-3328,6.0136,Agentic
L1D-load MPKI,fmt-2457,5.97115,Agentic
L1D-load MPKI,fmt-3750,7.0688,Agentic
L1D-load MPKI,fmt-3901,6.9985,Agentic
L1D-load MPKI,framework-52684,4.583,Agentic
L1D-load MPKI,gin-2121,3.911,Agentic
L1D-load MPKI,gson-1093,5.66445,Agentic
L1D-load MPKI,gson-2134,6.4288,Agentic
L1D-load MPKI,hugo-12579,3.2537,Agentic
L1D-load MPKI,immutable-js-2006,3.74755,Agentic
L1D-load MPKI,javaparser-4538,8.0862,Agentic
L1D-load MPKI,jekyll-8167,3.968,Agentic
L1D-load MPKI,jq-2598,4.36555,Agentic
L1D-load MPKI,json-4237,3.9381500000000003,Agentic
L1D-load MPKI,lombok-3479,6.48965,Agentic
L1D-load MPKI,micropython-13039,4.5717,Agentic
L1D-load MPKI,nushell-13831,5.9438,Agentic
L1D-load MPKI,php-cs-fixer-8064,6.7316,Agentic
L1D-load MPKI,phpspreadsheet-3463,5.4492,Agentic
L1D-load MPKI,preact-3763,4.90665,Agentic
L1D-load MPKI,prometheus-10720,3.2652,Agentic
L1D-load MPKI,redis-10068,5.0697,Agentic
L1D-load MPKI,redis-12272,4.2154,Agentic
L1D-load MPKI,ripgrep-2209,4.9431,Agentic
L1D-load MPKI,rubocop-13560,4.4069,Agentic
L1D-load MPKI,three.js-26589,4.3527000000000005,Agentic
L1I MPKI (code-read),axios-5892,24.48605,Agentic
L1I MPKI (code-read),axum-1730,19.9985,Agentic
L1I MPKI (code-read),babel-15649,22.5703,Agentic
L1I MPKI (code-read),bat-2835,10.454450000000001,Agentic
L1I MPKI (code-read),caddy-4774,4.652,Agentic
L1I MPKI (code-read),carbon-2752,17.7103,Agentic
L1I MPKI (code-read),core-11870,21.4431,Agentic
L1I MPKI (code-read),docusaurus-10130,22.2181,Agentic
L1I MPKI (code-read),docusaurus-9897,22.5562,Agentic
L1I MPKI (code-read),fastlane-20958,16.8249,Agentic
L1I MPKI (code-read),fluentd-3328,23.7348,Agentic
L1I MPKI (code-read),fmt-2457,12.2006,Agentic
L1I MPKI (code-read),fmt-3750,12.0786,Agentic
L1I MPKI (code-read),fmt-3901,13.7533,Agentic
L1I MPKI (code-read),framework-52684,19.3844,Agentic
L1I MPKI (code-read),gin-2121,20.3296,Agentic
L1I MPKI (code-read),gson-1093,14.64555,Agentic
L1I MPKI (code-read),gson-2134,12.7858,Agentic
L1I MPKI (code-read),hugo-12579,12.5928,Agentic
L1I MPKI (code-read),immutable-js-2006,13.7635,Agentic
L1I MPKI (code-read),javaparser-4538,12.294,Agentic
L1I MPKI (code-read),jekyll-8167,18.91975,Agentic
L1I MPKI (code-read),jq-2598,14.2883,Agentic
L1I MPKI (code-read),json-4237,11.1276,Agentic
L1I MPKI (code-read),lombok-3479,10.981449999999999,Agentic
L1I MPKI (code-read),micropython-13039,19.0819,Agentic
L1I MPKI (code-read),nushell-13831,15.9528,Agentic
L1I MPKI (code-read),php-cs-fixer-8064,13.55405,Agentic
L1I MPKI (code-read),phpspreadsheet-3463,20.8295,Agentic
L1I MPKI (code-read),preact-3763,19.274900000000002,Agentic
L1I MPKI (code-read),prometheus-10720,9.69165,Agentic
L1I MPKI (code-read),redis-10068,15.3577,Agentic
L1I MPKI (code-read),redis-12272,14.6282,Agentic
L1I MPKI (code-read),ripgrep-2209,16.4097,Agentic
L1I MPKI (code-read),rubocop-13560,14.406500000000001,Agentic
L1I MPKI (code-read),three.js-26589,15.9099,Agentic
L1I stall (% cycles),axios-5892,8.998850000000001,Agentic
L1I stall (% cycles),axum-1730,6.1997,Agentic
L1I stall (% cycles),babel-15649,8.3393,Agentic
L1I stall (% cycles),bat-2835,3.6116,Agentic
L1I stall (% cycles),caddy-4774,2.73205,Agentic
L1I stall (% cycles),carbon-2752,7.3106,Agentic
L1I stall (% cycles),core-11870,8.7985,Agentic
L1I stall (% cycles),docusaurus-10130,7.7319,Agentic
L1I stall (% cycles),docusaurus-9897,8.228,Agentic
L1I stall (% cycles),fastlane-20958,6.6969,Agentic
L1I stall (% cycles),fluentd-3328,8.5648,Agentic
L1I stall (% cycles),fmt-2457,4.9191,Agentic
L1I stall (% cycles),fmt-3750,5.0337,Agentic
L1I stall (% cycles),fmt-3901,5.1825,Agentic
L1I stall (% cycles),framework-52684,7.90315,Agentic
L1I stall (% cycles),gin-2121,7.8759,Agentic
L1I stall (% cycles),gson-1093,6.8075,Agentic
L1I stall (% cycles),gson-2134,6.598,Agentic
L1I stall (% cycles),hugo-12579,5.36415,Agentic
L1I stall (% cycles),immutable-js-2006,6.4679,Agentic
L1I stall (% cycles),javaparser-4538,5.7965,Agentic
L1I stall (% cycles),jekyll-8167,7.60785,Agentic
L1I stall (% cycles),jq-2598,5.6712,Agentic
L1I stall (% cycles),json-4237,4.7428,Agentic
L1I stall (% cycles),lombok-3479,5.55995,Agentic
L1I stall (% cycles),micropython-13039,6.9333,Agentic
L1I stall (% cycles),nushell-13831,5.1533,Agentic
L1I stall (% cycles),php-cs-fixer-8064,4.60105,Agentic
L1I stall (% cycles),phpspreadsheet-3463,7.2069,Agentic
L1I stall (% cycles),preact-3763,8.22605,Agentic
L1I stall (% cycles),prometheus-10720,4.34105,Agentic
L1I stall (% cycles),redis-10068,6.0202,Agentic
L1I stall (% cycles),redis-12272,7.95505,Agentic
L1I stall (% cycles),ripgrep-2209,6.7811,Agentic
L1I stall (% cycles),rubocop-13560,6.37955,Agentic
L1I stall (% cycles),three.js-26589,6.7267,Agentic
L2-load MPKI,axios-5892,0.7118,Agentic
L2-load MPKI,axum-1730,0.8699,Agentic
L2-load MPKI,babel-15649,0.5525,Agentic
L2-load MPKI,bat-2835,0.6275,Agentic
L2-load MPKI,caddy-4774,0.4734,Agentic
L2-load MPKI,carbon-2752,0.5873999999999999,Agentic
L2-load MPKI,core-11870,0.5152,Agentic
L2-load MPKI,docusaurus-10130,0.46,Agentic
L2-load MPKI,docusaurus-9897,0.5089,Agentic
L2-load MPKI,fastlane-20958,0.7105,Agentic
L2-load MPKI,fluentd-3328,0.93775,Agentic
L2-load MPKI,fmt-2457,0.45495,Agentic
L2-load MPKI,fmt-3750,0.5865,Agentic
L2-load MPKI,fmt-3901,0.5682,Agentic
L2-load MPKI,framework-52684,0.7071000000000001,Agentic
L2-load MPKI,gin-2121,0.6234500000000001,Agentic
L2-load MPKI,gson-1093,0.4222,Agentic
L2-load MPKI,gson-2134,0.4987,Agentic
L2-load MPKI,hugo-12579,0.3985,Agentic
L2-load MPKI,immutable-js-2006,0.29655,Agentic
L2-load MPKI,javaparser-4538,0.6221,Agentic
L2-load MPKI,jekyll-8167,0.6094,Agentic
L2-load MPKI,jq-2598,0.2732,Agentic
L2-load MPKI,json-4237,0.33865,Agentic
L2-load MPKI,lombok-3479,0.5378000000000001,Agentic
L2-load MPKI,micropython-13039,0.3495,Agentic
L2-load MPKI,nushell-13831,0.7492,Agentic
L2-load MPKI,php-cs-fixer-8064,0.6778,Agentic
L2-load MPKI,phpspreadsheet-3463,0.8602,Agentic
L2-load MPKI,preact-3763,0.39085000000000003,Agentic
L2-load MPKI,prometheus-10720,0.4285,Agentic
L2-load MPKI,redis-10068,0.2421,Agentic
L2-load MPKI,redis-12272,0.5383,Agentic
L2-load MPKI,ripgrep-2209,0.6176,Agentic
L2-load MPKI,rubocop-13560,0.64605,Agentic
L2-load MPKI,three.js-26589,0.41785,Agentic
L2-load miss rate (%),axios-5892,14.1342,Agentic
L2-load miss rate (%),axum-1730,14.8791,Agentic
L2-load miss rate (%),babel-15649,9.706,Agentic
L2-load miss rate (%),bat-2835,15.659600000000001,Agentic
L2-load miss rate (%),caddy-4774,19.0344,Agentic
L2-load miss rate (%),carbon-2752,13.8217,Agentic
L2-load miss rate (%),core-11870,10.7318,Agentic
L2-load miss rate (%),docusaurus-10130,9.8832,Agentic
L2-load miss rate (%),docusaurus-9897,10.9601,Agentic
L2-load miss rate (%),fastlane-20958,14.694099999999999,Agentic
L2-load miss rate (%),fluentd-3328,17.85875,Agentic
L2-load miss rate (%),fmt-2457,9.7695,Agentic
L2-load miss rate (%),fmt-3750,8.9185,Agentic
L2-load miss rate (%),fmt-3901,8.3587,Agentic
L2-load miss rate (%),framework-52684,15.62155,Agentic
L2-load miss rate (%),gin-2121,16.791449999999998,Agentic
L2-load miss rate (%),gson-1093,11.685,Agentic
L2-load miss rate (%),gson-2134,8.3621,Agentic
L2-load miss rate (%),hugo-12579,12.6801,Agentic
L2-load miss rate (%),immutable-js-2006,8.951450000000001,Agentic
L2-load miss rate (%),javaparser-4538,8.2214,Agentic
L2-load miss rate (%),jekyll-8167,12.5226,Agentic
L2-load miss rate (%),jq-2598,7.93475,Agentic
L2-load miss rate (%),json-4237,9.682300000000001,Agentic
L2-load miss rate (%),lombok-3479,11.14955,Agentic
L2-load miss rate (%),micropython-13039,8.3043,Agentic
L2-load miss rate (%),nushell-13831,15.6251,Agentic
L2-load miss rate (%),php-cs-fixer-8064,10.5479,Agentic
L2-load miss rate (%),phpspreadsheet-3463,16.5001,Agentic
L2-load miss rate (%),preact-3763,8.4939,Agentic
L2-load miss rate (%),prometheus-10720,15.049199999999999,Agentic
L2-load miss rate (%),redis-10068,6.876,Agentic
L2-load miss rate (%),redis-12272,12.8238,Agentic
L2-load miss rate (%),ripgrep-2209,13.0749,Agentic
L2-load miss rate (%),rubocop-13560,14.00835,Agentic
L2-load miss rate (%),three.js-26589,10.715399999999999,Agentic
LLC MPKI,axios-5892,0.1875,Agentic
LLC MPKI,axum-1730,0.3177,Agentic
LLC MPKI,babel-15649,0.1677,Agentic
LLC MPKI,bat-2835,0.24730000000000002,Agentic
LLC MPKI,caddy-4774,0.2284,Agentic
LLC MPKI,carbon-2752,0.26239999999999997,Agentic
LLC MPKI,core-11870,0.1226,Agentic
LLC MPKI,docusaurus-10130,0.1234,Agentic
LLC MPKI,docusaurus-9897,0.1571,Agentic
LLC MPKI,fastlane-20958,0.14405,Agentic
LLC MPKI,fluentd-3328,0.29645,Agentic
LLC MPKI,fmt-2457,0.1035,Agentic
LLC MPKI,fmt-3750,0.1008,Agentic
LLC MPKI,fmt-3901,0.1125,Agentic
LLC MPKI,framework-52684,0.25535,Agentic
LLC MPKI,gin-2121,0.2143,Agentic
LLC MPKI,gson-1093,0.10965,Agentic
LLC MPKI,gson-2134,0.0914,Agentic
LLC MPKI,hugo-12579,0.1538,Agentic
LLC MPKI,immutable-js-2006,0.12365000000000001,Agentic
LLC MPKI,javaparser-4538,0.1048,Agentic
LLC MPKI,jekyll-8167,0.1437,Agentic
LLC MPKI,jq-2598,0.05235,Agentic
LLC MPKI,json-4237,0.10455,Agentic
LLC MPKI,lombok-3479,0.12985000000000002,Agentic
LLC MPKI,micropython-13039,0.0775,Agentic
LLC MPKI,nushell-13831,0.3154,Agentic
LLC MPKI,php-cs-fixer-8064,0.1103,Agentic
LLC MPKI,phpspreadsheet-3463,0.328,Agentic
LLC MPKI,preact-3763,0.11624999999999999,Agentic
LLC MPKI,prometheus-10720,0.17099999999999999,Agentic
LLC MPKI,redis-10068,0.0545,Agentic
LLC MPKI,redis-12272,0.164,Agentic
LLC MPKI,ripgrep-2209,0.1876,Agentic
LLC MPKI,rubocop-13560,0.15675,Agentic
LLC MPKI,three.js-26589,0.13724999999999998,Agentic
LLC miss rate (%),axios-5892,36.35365,Agentic
LLC miss rate (%),axum-1730,42.102,Agentic
LLC miss rate (%),babel-15649,34.509,Agentic
LLC miss rate (%),bat-2835,44.3962,Agentic
LLC miss rate (%),caddy-4774,44.7627,Agentic
LLC miss rate (%),carbon-2752,42.7128,Agentic
LLC miss rate (%),core-11870,26.3989,Agentic
LLC miss rate (%),docusaurus-10130,33.5255,Agentic
LLC miss rate (%),docusaurus-9897,35.3706,Agentic
LLC miss rate (%),fastlane-20958,27.847,Agentic
LLC miss rate (%),fluentd-3328,51.9918,Agentic
LLC miss rate (%),fmt-2457,28.8276,Agentic
LLC miss rate (%),fmt-3750,24.9464,Agentic
LLC miss rate (%),fmt-3901,25.9558,Agentic
LLC miss rate (%),framework-52684,38.7008,Agentic
LLC miss rate (%),gin-2121,33.420249999999996,Agentic
LLC miss rate (%),gson-1093,29.295,Agentic
LLC miss rate (%),gson-2134,18.9755,Agentic
LLC miss rate (%),hugo-12579,40.13835,Agentic
LLC miss rate (%),immutable-js-2006,48.99605,Agentic
LLC miss rate (%),javaparser-4538,16.6922,Agentic
LLC miss rate (%),jekyll-8167,29.4847,Agentic
LLC miss rate (%),jq-2598,19.289900000000003,Agentic
LLC miss rate (%),json-4237,40.1125,Agentic
LLC miss rate (%),lombok-3479,31.535400000000003,Agentic
LLC miss rate (%),micropython-13039,23.9491,Agentic
LLC miss rate (%),nushell-13831,44.9605,Agentic
LLC miss rate (%),php-cs-fixer-8064,31.2001,Agentic
LLC miss rate (%),phpspreadsheet-3463,43.6542,Agentic
LLC miss rate (%),preact-3763,28.853099999999998,Agentic
LLC miss rate (%),prometheus-10720,45.0546,Agentic
LLC miss rate (%),redis-10068,23.2528,Agentic
LLC miss rate (%),redis-12272,33.0436,Agentic
LLC miss rate (%),ripgrep-2209,36.9082,Agentic
LLC miss rate (%),rubocop-13560,33.01805,Agentic
LLC miss rate (%),three.js-26589,36.411500000000004,Agentic
uop-cache (DSB) MPKI,axios-5892,54.4842,Agentic
uop-cache (DSB) MPKI,axum-1730,52.7147,Agentic
uop-cache (DSB) MPKI,babel-15649,54.067750000000004,Agentic
uop-cache (DSB) MPKI,bat-2835,36.9683,Agentic
uop-cache (DSB) MPKI,caddy-4774,20.1519,Agentic
uop-cache (DSB) MPKI,carbon-2752,47.8039,Agentic
uop-cache (DSB) MPKI,core-11870,50.5,Agentic
uop-cache (DSB) MPKI,docusaurus-10130,53.942899999999995,Agentic
uop-cache (DSB) MPKI,docusaurus-9897,53.48335,Agentic
uop-cache (DSB) MPKI,fastlane-20958,53.6163,Agentic
uop-cache (DSB) MPKI,fluentd-3328,58.8459,Agentic
uop-cache (DSB) MPKI,fmt-2457,39.24975,Agentic
uop-cache (DSB) MPKI,fmt-3750,39.346000000000004,Agentic
uop-cache (DSB) MPKI,fmt-3901,43.0062,Agentic
uop-cache (DSB) MPKI,framework-52684,53.70265,Agentic
uop-cache (DSB) MPKI,gin-2121,55.79345,Agentic
uop-cache (DSB) MPKI,gson-1093,43.862750000000005,Agentic
uop-cache (DSB) MPKI,gson-2134,32.284349999999996,Agentic
uop-cache (DSB) MPKI,hugo-12579,39.9574,Agentic
uop-cache (DSB) MPKI,immutable-js-2006,40.751,Agentic
uop-cache (DSB) MPKI,javaparser-4538,31.636,Agentic
uop-cache (DSB) MPKI,jekyll-8167,55.8456,Agentic
uop-cache (DSB) MPKI,jq-2598,44.6667,Agentic
uop-cache (DSB) MPKI,json-4237,41.6956,Agentic
